Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1388,SGBAUG24,GB,11,11,100.00
20,1389,SGBAUG27,GB,34,34,100.00
20,1390,SGBAUG28V,GB,593,519,87.52
20,1391,SGBDC27VII,GB,1,1,100.00
20,1392,SGBDEC25,GB,1,1,100.00
20,1393,SGBFEB24,GB,112,88,78.57
20,1394,SGBFEB28IX,GB,1,1,100.00
20,1395,SGBFEB29XI,GB,136,117,86.03
20,1396,SGBJ28VIII,GB,37,27,72.97
20,1397,SGBJAN27,GB,4,4,100.00
20,1398,SGBJAN29IX,GB,74,57,77.03
20,1399,SGBJAN29X,GB,101,101,100.00
20,1400,SGBJU29III,GB,407,356,87.47
20,1401,SGBJUL25,GB,15,8,53.33
20,1402,SGBJUL27,GB,28,6,21.43
20,1403,SGBJUL28IV,GB,1103,868,78.69
20,1404,SGBJUL29IV,GB,299,226,75.59
20,1405,SGBJUN28,GB,288,193,67.01
20,1406,SGBJUN29II,GB,270,224,82.96
20,1407,SGBMAR24,GB,757,685,90.49
20,1408,SGBMAR25,GB,254,222,87.40
20,1409,SGBMAR28X,GB,66,66,100.00
20,1410,SGBMAY25,GB,55,55,100.00
20,1411,SGBMAY26,GB,15,15,100.00
20,1412,SGBMAY28,GB,580,541,93.28
20,1413,SGBMAY29I,GB,659,650,98.63
20,1414,SGBMR29XII,GB,224,212,94.64
20,1415,SGBN28VIII,GB,201,194,96.52
20,1416,SGBNOV23,GB,378,342,90.48
20,1417,SGBNOV24,GB,7,7,100.00
20,1418,SGBNOV25,GB,13,13,100.00
20,1419,SGBNOV25VI,GB,89,62,69.66
20,1420,SGBNOV26,GB,5,5,100.00
20,1421,SGBOC28VII,GB,85,85,100.00
20,1422,SGBOCT25,GB,15,15,100.00
20,1423,SGBOCT25IV,GB,5,5,100.00
20,1424,SGBOCT27,GB,40,40,100.00
20,1425,SGBOCT27VI,GB,7,7,100.00
20,1426,SGBSEP27,GB,30,30,100.00
20,1427,SGBSEP28VI,GB,132,131,99.24
20,1428,SGIL,EQ,105787,57451,54.31
20,1429,SGL,EQ,52918,33294,62.92
20,1430,SHAKTIPUMP,EQ,104327,71525,68.56
20,1431,SHALBY,EQ,214655,88215,41.10
20,1432,SHALPAINTS,EQ,163405,64036,39.19
20,1433,SHANKARA,EQ,284666,73659,25.88
20,1434,SHANTIGEAR,EQ,3506008,623254,17.78
20,1435,SHARDACROP,EQ,188407,107973,57.31
20,1436,SHAREINDIA,EQ,70462,44346,62.94
20,1437,SHARIABEES,EQ,1359,1155,84.99
20,1438,SHEMAROO,EQ,37492,36985,98.65
20,1439,SHILPAMED,EQ,1307451,250726,19.18
20,1440,SHIVAMAUTO,EQ,66736,46652,69.91
20,1441,SHIVAMILLS,EQ,34112,29940,87.77
20,1442,SHIVATEX,EQ,479686,151982,31.68
20,1443,SHK,EQ,295409,146280,49.52
20,1444,SHOPERSTOP,EQ,147274,43534,29.56
20,1445,SHRADHA,EQ,1348,201,14.91
20,1446,SHREDIGCEM,EQ,643619,276377,42.94
20,1447,SHREECEM,EQ,23638,10978,46.44
20,1448,SHREEPUSHK,EQ,119853,61000,50.90
20,1449,SHREERAMA,EQ,244870,148041,60.46
20,1450,SHRENIK,EQ,3613441,3606680,99.81
20,1451,SHREYANIND,EQ,1395903,371273,26.60
20,1452,SHREYAS,EQ,93334,47943,51.37
