Record Type,Sr No,Name of Security, Series, Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,431,EIFFL,SM,4800,4000,83.33
20,432,EIHAHOTELS,EQ,289627,73247,25.29
20,433,EIHOTEL,EQ,7975641,2031933,25.48
20,434,EIMCOELECO,EQ,4997,2284,45.71
20,435,EKC,EQ,169282,93694,55.35
20,436,ELECON,EQ,333691,128530,38.52
20,437,ELECTCAST,EQ,364469,233301,64.01
20,438,ELECTHERM,EQ,6526,4203,64.40
20,439,ELGIEQUIP,EQ,146197,73951,50.58
20,440,ELGIRUBCO,EQ,26000,12405,47.71
20,441,EMAMILTD,EQ,999969,783599,78.36
20,442,EMAMIPAP,EQ,113835,44309,38.92
20,443,EMAMIREAL,EQ,107816,79571,73.80
20,444,EMBASSY,RR,1305260,1065079,81.60
20,445,EMKAY,EQ,66729,35720,53.53
20,446,EMMBI,EQ,26776,17043,63.65
20,447,ENDURANCE,EQ,58675,33192,56.57
20,448,ENERGYDEV,EQ,69988,62608,89.46
20,449,ENGINERSIN,EQ,2019865,854403,42.30
20,450,ENIL,EQ,52005,34878,67.07
20,451,EPL,EQ,151901,109739,72.24
20,452,EQ30,EQ,355,180,50.70
20,453,EQUITAS,EQ,696520,408472,58.64
20,454,EQUITASBNK,EQ,1265662,605383,47.83
20,455,ERFLNCDI,N5,18,18,100.00
20,456,ERFLNCDI,N6,99,99,100.00
20,457,ERIS,EQ,30639,10001,32.64
20,458,EROSMEDIA,EQ,866755,552554,63.75
20,459,ESABINDIA,EQ,16349,6001,36.71
20,460,ESCORTS,EQ,1568084,338144,21.56
20,461,ESSARSHPNG,EQ,56493,40825,72.27
20,462,ESTER,EQ,203146,137084,67.48
20,463,EVEREADY,EQ,2155730,997730,46.28
20,464,EVERESTIND,EQ,49813,17830,35.79
20,465,EXCELINDUS,EQ,16872,8994,53.31
20,466,EXIDEIND,EQ,5269029,2379581,45.16
20,467,EXXARO,EQ,587146,220672,37.58
20,468,FACT,EQ,350130,99472,28.41
20,469,FAIRCHEMOR,EQ,17760,7088,39.91
20,470,FCL,EQ,712309,217086,30.48
20,471,FCONSUMER,EQ,25622606,7771074,30.33
20,472,FDC,EQ,74805,33907,45.33
20,473,FEDERALBNK,EQ,10618280,4250346,40.03
20,474,FEL,EQ,2702020,1407546,52.09
20,475,FELDVR,EQ,118945,66661,56.04
20,476,FELIX,SM,16000,16000,100.00
20,477,FIEMIND,EQ,32301,20750,64.24
20,478,FILATEX,EQ,553902,259740,46.89
20,479,FINCABLES,EQ,199043,114831,57.69
20,480,FINEORG,EQ,25483,16197,63.56
20,481,FINPIPE,EQ,3708662,1168284,31.50
20,482,FLEXITUFF,EQ,24825,17462,70.34
20,483,FLFL,EQ,161041,98665,61.27
20,484,FLUOROCHEM,EQ,155538,90259,58.03
20,485,FMGOETZE,EQ,483830,295010,60.97
20,486,FMNL,EQ,636974,340791,53.50
20,487,FOCUS,SM,30000,30000,100.00
20,488,FORCEMOT,EQ,81608,16224,19.88
20,489,FORTIS,EQ,3123748,1879458,60.17
20,490,FOSECOIND,EQ,4059,2006,49.42
20,491,FRETAIL,EQ,2948968,1899529,64.41
20,492,FSC,EQ,114062,50428,44.21
20,493,FSL,EQ,2959919,1056870,35.71
20,494,GABRIEL,EQ,634753,238758,37.61
20,495,GAEL,EQ,149072,75899,50.91
20,496,GAIL,EQ,32956454,14549349,44.15
20,497,GAL,EQ,658577,368289,55.92
20,498,GALAXYSURF,EQ,31767,17904,56.36
20,499,GALLANTT,EQ,100037,48395,48.38
20,500,GALLISPAT,EQ,56558,36717,64.92
20,501,GANDHITUBE,EQ,3526,2839,80.52
20,502,GANECOS,EQ,13662,11551,84.55
20,503,GANESHBE,EQ,74889,54734,73.09
20,504,GANESHHOUC,EQ,45159,26090,57.77
20,505,GANGAFORGE,EQ,761464,380930,50.03
20,506,GANGESSECU,EQ,112250,106074,94.50
20,507,GARFIBRES,EQ,23033,10660,46.28
20,508,GATI,EQ,275048,100366,36.49
20,509,GAYAPROJ,EQ,2161064,1304434,60.36
20,510,GDL,EQ,1505815,1306593,86.77
20,511,GEECEE,EQ,21471,13212,61.53
20,512,GEEKAYWIRE,EQ,3641,2423,66.55
20,513,GENCON,EQ,20132,11157,55.42
20,514,GENESYS,EQ,289623,178077,61.49
20,515,GENUSPOWER,EQ,683613,356300,52.12
20,516,GEOJITFSL,EQ,346470,140600,40.58
20,517,GEPIL,EQ,43592,19731,45.26
20,518,GESHIP,EQ,178987,81642,45.61
20,519,GET&D,EQ,124178,70219,56.55
20,520,GFLLIMITED,EQ,192692,107393,55.73
20,521,GFSTEELS,EQ,280,280,100.00
20,522,GHCL,EQ,762724,273059,35.80
20,523,GICHSGFIN,EQ,258349,144719,56.02
20,524,GICRE,EQ,469458,260080,55.40
20,525,GILLETTE,EQ,9907,7575,76.46
20,526,GINNIFILA,EQ,59569,39028,65.52
20,527,GIPCL,EQ,862051,346690,40.22
20,528,GISOLUTION,EQ,4683,4683,100.00
20,529,GKWLIMITED,EQ,611,452,73.98
20,530,GLAND,EQ,219342,141231,64.39
20,531,GLAXO,EQ,64970,43129,66.38
20,532,GLENMARK,EQ,1228879,546058,44.44
20,533,GLFL,EQ,1230,1230,100.00
20,534,GLOBAL,EQ,1512,1284,84.92
20,535,GLOBALVECT,EQ,23864,9646,40.42
20,536,GLS,EQ,114694,61547,53.66
20,537,GMBREW,EQ,45380,20624,45.45
20,538,GMDCLTD,EQ,1619920,624968,38.58
20,539,GMMPFAUDLR,EQ,18841,8933,47.41
20,540,GMRINFRA,EQ,34863839,13347742,38.29
20,541,GNA,EQ,126371,58666,46.42
20,542,GNFC,EQ,3971287,1116023,28.10
20,543,GOACARBON,EQ,39328,13614,34.62
20,544,GOCLCORP,EQ,48700,26065,53.52
20,545,GODFRYPHLP,EQ,130445,41167,31.56
20,546,GODREJAGRO,EQ,100127,26175,26.14
20,547,GODREJCP,EQ,4658523,1349961,28.98
20,548,GODREJIND,EQ,278708,147672,52.98
20,549,GODREJPROP,EQ,2750782,342934,12.47
20,550,GOKEX,EQ,125333,85483,68.20
20,551,GOKUL,EQ,83202,49000,58.89
20,552,GOKULAGRO,EQ,439376,377193,85.85
20,553,GOLDBEES,EQ,4523276,3724943,82.35
20,554,GOLDENTOBC,EQ,148519,102198,68.81
20,555,GOLDIAM,EQ,55357,19551,35.32
20,556,GOLDSHARE,EQ,67819,48997,72.25
20,557,GOLDSTAR,SM,78000,54000,69.23
20,558,GOODLUCK,EQ,134471,83315,61.96
20,559,GOODYEAR,EQ,10562,5445,51.55
20,560,GPIL,EQ,69905,45661,65.32
20,561,GPPL,EQ,716563,395111,55.14
20,562,GPTINFRA,EQ,44062,37517,85.15
20,563,GRANULES,EQ,1060730,313092,29.52
20,564,GRAPHITE,EQ,364345,143638,39.42
20,565,GRASIM,EQ,1562917,381446,24.41
